date,country,browser,market_share
2025-03,Australia,Chrome,45.802
2025-03,Australia,Safari,21.396
2025-03,Australia,Mobile Safari UI/WKWebView,8.189
2025-03,Australia,Edge,6.699
2025-03,Australia,Facebook,5.866
2025-03,Australia,Firefox,2.805
2025-03,Australia,Instagram,2.745
2025-03,Australia,Samsung Internet,2.209
2025-03,Australia,Chrome Mobile WebView,1.851
2025-03,Australia,Opera,0.803
2025-03,Australia,Brave,0.796
2025-03,Australia,TikTok,0.31
2025-03,Australia,DuckDuckGo,0.23
2025-03,Australia,Snapchat,0.052
2025-03,Australia,AVG,0.046
2025-03,Australia,Twitter,0.036
2025-03,Australia,Pinterest,0.034
2025-03,Australia,Aloha Browser,0.028
2025-03,Australia,Avast Secure Browser,0.028
2025-03,Australia,Yandex Browser,0.016
2025-03,Australia,Ecosia,0.015
2025-03,Australia,Huawei Browser,0.008
2025-03,Australia,UC Browser,0.008
2025-03,Australia,Mi Browser,0.005
2025-03,Australia,Oculus Browser,0.005
2025-03,Australia,QQ Browser,0.005
2025-03,Australia,Whale,0.005
2025-03,Australia,KakaoTalk,0.003
2025-03,Australia,VivoBrowser,0.003
2025-03,Australia,Instabridge,0.001
2025-03,Australia,Other,0.001
2025-03,Australia,Sogou Explorer,0.001
2025-03,Australia,Vivaldi,0.001
2025-03,Austria,Chrome,41.91
2025-03,Austria,Safari,17.527
2025-03,Austria,Edge,9.745
2025-03,Austria,Firefox,9.22
2025-03,Austria,Mobile Safari UI/WKWebView,5.031
2025-03,Austria,Samsung Internet,4.156
2025-03,Austria,Chrome Mobile WebView,3.537
2025-03,Austria,Facebook,2.741
2025-03,Austria,Instagram,2.187
2025-03,Austria,Opera,1.559
2025-03,Austria,Brave,1.005
2025-03,Austria,TikTok,0.401
2025-03,Austria,DuckDuckGo,0.281
2025-03,Austria,Yandex Browser,0.136
2025-03,Austria,Ecosia,0.118
2025-03,Austria,Huawei Browser,0.108
2025-03,Austria,Avast Secure Browser,0.072
2025-03,Austria,Pinterest,0.055
2025-03,Austria,Mi Browser,0.051
2025-03,Austria,Aloha Browser,0.049
2025-03,Austria,Twitter,0.036
2025-03,Austria,Snapchat,0.025
2025-03,Austria,UC Browser,0.016
2025-03,Austria,AVG,0.015
2025-03,Austria,Oculus Browser,0.008
2025-03,Austria,Other,0.002
2025-03,Austria,QQ Browser,0.002
2025-03,Austria,Vivaldi,0.002
2025-03,Austria,Whale,0.002
2025-03,Austria,HiBrowser,0.001
2025-03,Austria,VivoBrowser,0.001
2025-03,Belgium,Chrome,46.906
2025-03,Belgium,Safari,16.031
2025-03,Belgium,Edge,8.81
2025-03,Belgium,Firefox,5.844
2025-03,Belgium,Mobile Safari UI/WKWebView,5.334
2025-03,Belgium,Facebook,4.408
2025-03,Belgium,Chrome Mobile WebView,4.01
2025-03,Belgium,Samsung Internet,3.048
2025-03,Belgium,Instagram,1.917
2025-03,Belgium,Opera,1.266
2025-03,Belgium,Brave,1.1
2025-03,Belgium,TikTok,0.409
2025-03,Belgium,DuckDuckGo,0.214
2025-03,Belgium,Snapchat,0.132
2025-03,Belgium,Avast Secure Browser,0.099
2025-03,Belgium,Ecosia,0.095
2025-03,Belgium,AVG,0.069
2025-03,Belgium,Mi Browser,0.057
2025-03,Belgium,Aloha Browser,0.052
2025-03,Belgium,Twitter,0.052
2025-03,Belgium,Yandex Browser,0.052
2025-03,Belgium,Pinterest,0.047
2025-03,Belgium,Huawei Browser,0.021
2025-03,Belgium,Oculus Browser,0.009
2025-03,Belgium,UC Browser,0.007
2025-03,Belgium,Instabridge,0.002
2025-03,Belgium,Other,0.002
2025-03,Belgium,Vivaldi,0.002
2025-03,Belgium,Whale,0.002
2025-03,Belgium,QQ Browser,0.001
2025-03,Belgium,VivoBrowser,0.001
2025-03,Bulgaria,Chrome,58.42
2025-03,Bulgaria,Safari,10.714
2025-03,Bulgaria,Chrome Mobile WebView,6.545
2025-03,Bulgaria,Firefox,5.006
2025-03,Bulgaria,Facebook,4.615
2025-03,Bulgaria,Edge,3.47
2025-03,Bulgaria,Mobile Safari UI/WKWebView,3.42
2025-03,Bulgaria,Samsung Internet,2.792
2025-03,Bulgaria,Opera,1.653
2025-03,Bulgaria,Brave,1.082
2025-03,Bulgaria,Huawei Browser,0.797
2025-03,Bulgaria,Instagram,0.71
2025-03,Bulgaria,Yandex Browser,0.206
2025-03,Bulgaria,Mi Browser,0.128
2025-03,Bulgaria,TikTok,0.116
2025-03,Bulgaria,DuckDuckGo,0.099
2025-03,Bulgaria,Avast Secure Browser,0.08
2025-03,Bulgaria,Aloha Browser,0.039
2025-03,Bulgaria,Twitter,0.033
2025-03,Bulgaria,Pinterest,0.02
2025-03,Bulgaria,UC Browser,0.019
2025-03,Bulgaria,AVG,0.01
2025-03,Bulgaria,HiBrowser,0.006
2025-03,Bulgaria,Snapchat,0.005
2025-03,Bulgaria,Ecosia,0.004
2025-03,Bulgaria,Oculus Browser,0.002
2025-03,Bulgaria,QQ Browser,0.002
2025-03,Bulgaria,Vivaldi,0.002
2025-03,Bulgaria,Whale,0.002
2025-03,Bulgaria,Other,0.001
2025-03,Bulgaria,VivoBrowser,0.001
2025-03,Canada,Chrome,46.529
2025-03,Canada,Safari,19.525
2025-03,Canada,Mobile Safari UI/WKWebView,11.552
2025-03,Canada,Edge,6.72
2025-03,Canada,Firefox,3.965
2025-03,Canada,Facebook,3.09
2025-03,Canada,Chrome Mobile WebView,2.724
2025-03,Canada,Instagram,1.596
2025-03,Canada,Samsung Internet,1.456
2025-03,Canada,Brave,1.073
2025-03,Canada,Opera,0.856
2025-03,Canada,DuckDuckGo,0.255
2025-03,Canada,TikTok,0.198
2025-03,Canada,Aloha Browser,0.102
2025-03,Canada,Pinterest,0.065
2025-03,Canada,Twitter,0.06
2025-03,Canada,Snapchat,0.042
2025-03,Canada,AVG,0.041
2025-03,Canada,Avast Secure Browser,0.037
2025-03,Canada,Yandex Browser,0.024
2025-03,Canada,Wave Browser,0.017
2025-03,Canada,UC Browser,0.016
2025-03,Canada,Oculus Browser,0.015
2025-03,Canada,Ecosia,0.011
2025-03,Canada,Huawei Browser,0.008
2025-03,Canada,Mi Browser,0.006
2025-03,Canada,Whale,0.006
2025-03,Canada,KakaoTalk,0.003
2025-03,Canada,VivoBrowser,0.003
2025-03,Canada,QQ Browser,0.002
2025-03,Canada,Vivaldi,0.002
2025-03,Canada,HiBrowser,0.001
2025-03,Canada,Instabridge,0.001
2025-03,Canada,Other,0.001
2025-03,Croatia,Chrome,64.226
2025-03,Croatia,Facebook,7.436
2025-03,Croatia,Safari,7.276
2025-03,Croatia,Samsung Internet,5.003
2025-03,Croatia,Firefox,4.574
2025-03,Croatia,Edge,3.287
2025-03,Croatia,Chrome Mobile WebView,3.074
2025-03,Croatia,Mobile Safari UI/WKWebView,1.301
2025-03,Croatia,Brave,1.047
2025-03,Croatia,Opera,1.039
2025-03,Croatia,Instagram,0.85
2025-03,Croatia,Huawei Browser,0.305
2025-03,Croatia,DuckDuckGo,0.17
2025-03,Croatia,Mi Browser,0.132
2025-03,Croatia,TikTok,0.079
2025-03,Croatia,Avast Secure Browser,0.063
2025-03,Croatia,Aloha Browser,0.04
2025-03,Croatia,Yandex Browser,0.022
2025-03,Croatia,AVG,0.015
2025-03,Croatia,Pinterest,0.015
2025-03,Croatia,Twitter,0.012
2025-03,Croatia,UC Browser,0.01
2025-03,Croatia,Ecosia,0.008
2025-03,Croatia,Snapchat,0.007
2025-03,Croatia,Whale,0.004
2025-03,Croatia,Other,0.002
2025-03,Croatia,Vivaldi,0.002
2025-03,Croatia,Instabridge,0.001
2025-03,Croatia,Oculus Browser,0.001
2025-03,Croatia,QQ Browser,0.001
2025-03,Croatia,VivoBrowser,0.001
2025-03,Cyprus,Chrome,49.325
2025-03,Cyprus,Safari,23.818
2025-03,Cyprus,Mobile Safari UI/WKWebView,5.192
2025-03,Cyprus,Chrome Mobile WebView,4.014
2025-03,Cyprus,Facebook,3.746
2025-03,Cyprus,Edge,3.743
2025-03,Cyprus,Firefox,3.065
2025-03,Cyprus,Samsung Internet,2.388
2025-03,Cyprus,Instagram,1.489
2025-03,Cyprus,Opera,1.092
2025-03,Cyprus,Brave,0.927
2025-03,Cyprus,Yandex Browser,0.388
2025-03,Cyprus,Twitter,0.182
2025-03,Cyprus,TikTok,0.138
2025-03,Cyprus,DuckDuckGo,0.127
2025-03,Cyprus,Mi Browser,0.085
2025-03,Cyprus,Huawei Browser,0.076
2025-03,Cyprus,Avast Secure Browser,0.052
2025-03,Cyprus,Aloha Browser,0.043
2025-03,Cyprus,Pinterest,0.034
2025-03,Cyprus,UC Browser,0.033
2025-03,Cyprus,AVG,0.013
2025-03,Cyprus,HiBrowser,0.007
2025-03,Cyprus,Ecosia,0.005
2025-03,Cyprus,Whale,0.005
2025-03,Cyprus,Other,0.004
2025-03,Cyprus,Oculus Browser,0.003
2025-03,Cyprus,Snapchat,0.003
2025-03,Cyprus,QQ Browser,0.002
2025-03,Cyprus,VivoBrowser,0.002
2025-03,Czech Republic,Chrome,52.865
2025-03,Czech Republic,Safari,13.723
2025-03,Czech Republic,Edge,7.562
2025-03,Czech Republic,Firefox,6.509
2025-03,Czech Republic,Chrome Mobile WebView,5.321
2025-03,Czech Republic,Mobile Safari UI/WKWebView,4.281
2025-03,Czech Republic,Facebook,2.599
2025-03,Czech Republic,Opera,2.248
2025-03,Czech Republic,Samsung Internet,1.86
2025-03,Czech Republic,Brave,0.97
2025-03,Czech Republic,Instagram,0.904
2025-03,Czech Republic,Yandex Browser,0.294
2025-03,Czech Republic,Avast Secure Browser,0.199
2025-03,Czech Republic,Mi Browser,0.157
2025-03,Czech Republic,DuckDuckGo,0.123
2025-03,Czech Republic,TikTok,0.113
2025-03,Czech Republic,Huawei Browser,0.056
2025-03,Czech Republic,AVG,0.054
2025-03,Czech Republic,Pinterest,0.046
2025-03,Czech Republic,Aloha Browser,0.034
2025-03,Czech Republic,Twitter,0.031
2025-03,Czech Republic,UC Browser,0.022
2025-03,Czech Republic,Vivaldi,0.007
2025-03,Czech Republic,Ecosia,0.005
2025-03,Czech Republic,Oculus Browser,0.005
2025-03,Czech Republic,Snapchat,0.004
2025-03,Czech Republic,Other,0.003
2025-03,Czech Republic,HiBrowser,0.002
2025-03,Czech Republic,Whale,0.002
2025-03,Czech Republic,QQ Browser,0.001
2025-03,Czech Republic,VivoBrowser,0.001
2025-03,Denmark,Chrome,40.223
2025-03,Denmark,Safari,23.481
2025-03,Denmark,Mobile Safari UI/WKWebView,9.758
2025-03,Denmark,Edge,7.792
2025-03,Denmark,Facebook,6.696
2025-03,Denmark,Firefox,3.238
2025-03,Denmark,Chrome Mobile WebView,2.45
2025-03,Denmark,Instagram,2.091
2025-03,Denmark,Samsung Internet,1.654
2025-03,Denmark,Opera,0.96
2025-03,Denmark,Brave,0.676
2025-03,Denmark,TikTok,0.351
2025-03,Denmark,DuckDuckGo,0.188
2025-03,Denmark,Snapchat,0.118
2025-03,Denmark,Yandex Browser,0.087
2025-03,Denmark,Avast Secure Browser,0.044
2025-03,Denmark,AVG,0.04
2025-03,Denmark,Pinterest,0.034
2025-03,Denmark,Aloha Browser,0.027
2025-03,Denmark,Twitter,0.025
2025-03,Denmark,Ecosia,0.023
2025-03,Denmark,Huawei Browser,0.011
2025-03,Denmark,Mi Browser,0.009
2025-03,Denmark,Oculus Browser,0.008
2025-03,Denmark,UC Browser,0.007
2025-03,Denmark,Vivaldi,0.003
2025-03,Denmark,Other,0.001
2025-03,Denmark,QQ Browser,0.001
2025-03,Denmark,VivoBrowser,0.001
2025-03,Denmark,Whale,0.001
2025-03,Estonia,Chrome,57.166
2025-03,Estonia,Safari,11.491
2025-03,Estonia,Firefox,6.376
2025-03,Estonia,Edge,5.329
2025-03,Estonia,Chrome Mobile WebView,4.325
2025-03,Estonia,Mobile Safari UI/WKWebView,4.142
2025-03,Estonia,Facebook,3.13
2025-03,Estonia,Samsung Internet,2.601
2025-03,Estonia,Opera,2.133
2025-03,Estonia,Brave,1.484
2025-03,Estonia,Instagram,0.648
2025-03,Estonia,Yandex Browser,0.549
2025-03,Estonia,DuckDuckGo,0.158
2025-03,Estonia,Huawei Browser,0.111
2025-03,Estonia,TikTok,0.085
2025-03,Estonia,Avast Secure Browser,0.069
2025-03,Estonia,Mi Browser,0.054
2025-03,Estonia,Aloha Browser,0.029
2025-03,Estonia,Pinterest,0.025
2025-03,Estonia,AVG,0.019
2025-03,Estonia,Twitter,0.019
2025-03,Estonia,UC Browser,0.017
2025-03,Estonia,Snapchat,0.012
2025-03,Estonia,Ecosia,0.007
2025-03,Estonia,Oculus Browser,0.006
2025-03,Estonia,Vivaldi,0.004
2025-03,Estonia,Whale,0.003
2025-03,Estonia,QQ Browser,0.002
2025-03,Estonia,HiBrowser,0.001
2025-03,Estonia,Instabridge,0.001
2025-03,Estonia,Other,0.001
2025-03,Finland,Chrome,54.433
2025-03,Finland,Safari,12.888
2025-03,Finland,Firefox,8.327
2025-03,Finland,Edge,6.35
2025-03,Finland,Chrome Mobile WebView,4.574
2025-03,Finland,Mobile Safari UI/WKWebView,3.482
2025-03,Finland,Samsung Internet,2.433
2025-03,Finland,Facebook,2.207
2025-03,Finland,Opera,1.392
2025-03,Finland,Instagram,1.372
2025-03,Finland,Brave,1.236
2025-03,Finland,Yandex Browser,0.494
2025-03,Finland,DuckDuckGo,0.282
2025-03,Finland,TikTok,0.201
2025-03,Finland,Avast Secure Browser,0.067
2025-03,Finland,Aloha Browser,0.045
2025-03,Finland,Snapchat,0.039
2025-03,Finland,Mi Browser,0.033
2025-03,Finland,Pinterest,0.032
2025-03,Finland,Twitter,0.03
2025-03,Finland,Huawei Browser,0.023
2025-03,Finland,UC Browser,0.018
2025-03,Finland,Ecosia,0.016
2025-03,Finland,AVG,0.01
2025-03,Finland,Oculus Browser,0.008
2025-03,Finland,Vivaldi,0.003
2025-03,Finland,Whale,0.002
2025-03,Finland,HiBrowser,0.001
2025-03,Finland,Other,0.001
2025-03,Finland,QQ Browser,0.001
2025-03,Finland,VivoBrowser,0.001
2025-03,France,Chrome,48.304
2025-03,France,Safari,15.005
2025-03,France,Firefox,7.387
2025-03,France,Mobile Safari UI/WKWebView,6.647
2025-03,France,Edge,6.533
2025-03,France,Chrome Mobile WebView,4.59
2025-03,France,Facebook,3.089
2025-03,France,Samsung Internet,2.789
2025-03,France,Instagram,1.514
2025-03,France,Opera,1.401
2025-03,France,Brave,0.963
2025-03,France,TikTok,0.443
2025-03,France,Snapchat,0.19
2025-03,France,Yandex Browser,0.184
2025-03,France,Mi Browser,0.146
2025-03,France,DuckDuckGo,0.142
2025-03,France,Avast Secure Browser,0.134
2025-03,France,Ecosia,0.125
2025-03,France,UC Browser,0.112
2025-03,France,Aloha Browser,0.084
2025-03,France,Twitter,0.081
2025-03,France,Huawei Browser,0.055
2025-03,France,Pinterest,0.042
2025-03,France,AVG,0.014
2025-03,France,Oculus Browser,0.007
2025-03,France,VivoBrowser,0.006
2025-03,France,HiBrowser,0.005
2025-03,France,QQ Browser,0.002
2025-03,France,Vivaldi,0.002
2025-03,France,Whale,0.002
2025-03,France,Instabridge,0.001
2025-03,France,Mint Browser,0.001
2025-03,France,Other,0.001
2025-03,France,Wave Browser,0.001
2025-03,Germany,Chrome,40.017
2025-03,Germany,Safari,17.74
2025-03,Germany,Firefox,11.471
2025-03,Germany,Edge,7.342
2025-03,Germany,Mobile Safari UI/WKWebView,6.243
2025-03,Germany,Chrome Mobile WebView,4.952
2025-03,Germany,Samsung Internet,4.063
2025-03,Germany,Instagram,2.268
2025-03,Germany,Facebook,1.837
2025-03,Germany,Opera,1.78
2025-03,Germany,Brave,0.79
2025-03,Germany,TikTok,0.362
2025-03,Germany,DuckDuckGo,0.325
2025-03,Germany,Ecosia,0.172
2025-03,Germany,Yandex Browser,0.165
2025-03,Germany,Mi Browser,0.083
2025-03,Germany,Aloha Browser,0.077
2025-03,Germany,Huawei Browser,0.068
2025-03,Germany,Avast Secure Browser,0.058
2025-03,Germany,Pinterest,0.055
2025-03,Germany,Twitter,0.039
2025-03,Germany,UC Browser,0.032
2025-03,Germany,AVG,0.017
2025-03,Germany,Snapchat,0.013
2025-03,Germany,Oculus Browser,0.009
2025-03,Germany,QQ Browser,0.004
2025-03,Germany,Vivaldi,0.004
2025-03,Germany,Wave Browser,0.004
2025-03,Germany,VivoBrowser,0.003
2025-03,Germany,Whale,0.003
2025-03,Germany,HiBrowser,0.002
2025-03,Germany,Other,0.002
2025-03,Germany,Instabridge,0.001
2025-03,Germany,Mint Browser,0.001
2025-03,Greece,Chrome,60.12
2025-03,Greece,Safari,9.266
